(playable-blip) (base) pool@pool-geek:/media/pool/PLAYABLE-D/work/tests$ python blip.py 
[device] cuda | mps_built=False | mps_available=False
[00:02:15] a black and white photo of a desert  (0.272s)
[00:02:17] a group of people are standing in the desert  (0.069s)
[00:02:19] a group of people are walking through the desert  (0.069s)
[00:02:21] a group of people are walking through the desert  (0.066s)
[00:02:23] a herd of cattle  (0.044s)
[00:02:25] a herd of goats in the mountains  (0.056s)
[00:02:27] a man riding a horse through a rocky area  (0.070s)
[00:02:29] a man riding a horse down a hill  (0.064s)
[00:02:31] a man riding a horse down a dirt road  (0.067s)
[00:02:33] a tree in the desert with mountains in the background  (0.074s)
[00:02:35] a black and white photo of a tree in the desert  (0.077s)
[00:02:37] a man riding a horse through a desert  (0.063s)
[00:02:39] a man is walking with a herd of cattle  (0.071s)
[00:02:41] a group of men riding horses through a desert  (0.069s)
[00:02:43] a group of men riding horses in the desert  (0.068s)
[00:02:45] a man riding on the back of a horse  (0.069s)
[00:02:47] a group of men riding horses down a dirt road  (0.075s)
[00:02:49] a group of people riding horses through a field  (0.068s)
[00:02:51] a herd of horses and cowboys in the desert  (0.071s)
[00:02:53] a herd of cattle is herded in the desert  (0.073s)
[00:02:55] a man in a cowboy hat holding a rope  (0.067s)
[00:02:57] a group of horses are walking through a dusty field  (0.074s)
[00:02:59] a group of horses standing in the fog  (0.062s)
[00:03:01] a group of people walking through a fog filled field  (0.072s)
[00:03:03] a group of people riding horses through a field  (0.070s)
[00:03:05] a group of men riding horses in the desert  (0.068s)
[00:03:07] two men on horses in the desert  (0.057s)
[00:03:09] a man standing in front of a herd of cattle  (0.074s)
[00:03:11] a group of elephants walking through a forest  (0.062s)
[00:03:13] a man in a cowboy hat is riding on a horse  (0.076s)
[00:03:15] two men in cowboy hats sit on a bench  (0.066s)
[00:03:17] two men in cowboy hats sit on a bench  (0.066s)
[00:03:19] two men in cowboy hats sit on a bench  (0.070s)
[00:03:21] a man in a hat is standing on a horse  (0.072s)
[00:03:23] a man in a hat looking out a window  (0.067s)
[00:03:25] a man in a hat and coat looking out of a train window  (0.087s)
[00:03:27] a man in a hat and coat looking out of a train window  (0.087s)
[00:03:29] a man in a hat and coat is looking out of a train window  (0.090s)
[00:03:31] a man in a hat and coat looking out of a train window  (0.082s)
[00:03:33] two men in cowboy hats stand near a truck  (0.068s)
[00:03:35] a man in a cowboy hat sitting on a bench  (0.076s)
[00:03:37] a man in a hat and jacket sitting on a bench  (0.081s)
[00:03:39] a man in a cowboy hat sitting on a rock  (0.075s)
[00:03:41] a group of men in cowboy hats standing next to a truck  (0.087s)
[00:03:43] two people riding horses on a dirt road  (0.062s)
[00:03:45] a man riding a horse in the desert  (0.064s)
[00:03:47] a man in a cowboy hat riding a horse  (0.068s)
[00:03:49] a man in a hat and a cowboy holding a horse  (0.077s)
[00:03:51] a man in a hat is standing next to a horse  (0.076s)
[00:03:53] a man in a hat is standing next to a horse  (0.080s)
[00:03:55] two men riding horses through a rocky landscape  (0.062s)
[00:03:57] a group of people riding horses through a desert  (0.067s)
[00:03:59] a black and white photo of a desert  (0.064s)
[00:04:01] a black and white photo of a desert  (0.060s)
[00:04:03] a man riding a horse on a rocky hill  (0.068s)
[00:04:05] two men riding horses in the desert  (0.056s)
[00:04:07] two men riding horses in the desert  (0.059s)
[00:04:09] two men riding horses in the desert  (0.056s)
[00:04:11] two men riding horses in the desert  (0.062s)
[00:04:13] a black and white photo of a dirt road  (0.069s)
[00:04:15] a man is sitting on top of a horse drawn wagon  (0.078s)
[00:04:17] a man standing on top of a truck with horses  (0.074s)
[00:04:19] a black and white photo of a man on a horse  (0.079s)
[00:04:21] two men in cowboy hats sitting on horses  (0.062s)
[00:04:23] a group of men riding horses in the desert  (0.067s)
[00:04:25] a man riding on the back of a horse  (0.068s)
[00:04:27] a group of men riding horses through a rocky area  (0.074s)
[00:04:29] two men riding horses through the desert  (0.058s)
[00:04:31] a man on a horse standing on a hill  (0.068s)
[00:04:33] two men riding horses in the desert  (0.059s)
[00:04:35] two men on horses in the desert  (0.057s)
[00:04:37] two men riding horses in the desert  (0.057s)
[00:04:39] a man in a hat and jacket looking at rocks  (0.074s)
[00:04:41] two men on horses in the desert  (0.059s)
[00:04:43] a man riding on the back of a horse  (0.070s)
[00:04:45] a man riding a horse in the desert  (0.062s)
[00:04:47] two men riding horses in the desert  (0.057s)
[00:04:49] a man in a hat riding a horse  (0.061s)
[00:04:51] a man in a hat and a man in a hat standing next to a truck  (0.101s)
[00:04:53] a man in a hat and a man in a suit sitting on a horse  (0.100s)
[00:04:55] a man in a hat and a man in a suit stand next to a truck  (0.103s)
[00:04:57] two men in cowboy hats stand next to a tank  (0.074s)
[00:04:59] a man in a cowboy hat riding a horse  (0.068s)
[00:05:01] a group of men riding horses down a dirt road  (0.074s)
[00:05:03] a group of people walking down a dirt road  (0.068s)
[00:05:05] a group of men standing around a boat  (0.066s)
[00:05:07] a group of men standing around a boat  (0.065s)
[00:05:09] a group of men standing around a boat  (0.066s)
[00:05:11] a group of men standing around a horse  (0.063s)
[00:05:13] a group of men standing around a pile of food  (0.071s)
[00:05:15] a group of men standing around a pile of dead animals  (0.077s)
[00:05:17] a group of men standing around a fire  (0.061s)
[00:05:19] two people riding horses in the desert  (0.056s)
[00:05:21] two people riding horses in the desert  (0.056s)
[00:05:23] a man in a cowboy hat sitting on a horse  (0.072s)
[00:05:25] a man in a cowboy hat is standing next to a group of horses  (0.095s)
[00:05:27] a group of men in cowboy hats standing next to a truck  (0.084s)
[00:05:29] a man in cowboy attire standing next to a truck  (0.073s)
[00:05:31] two men in cowboy hats stand next to a truck  (0.074s)
[00:05:33] a man in a cowboy hat looking out the window of a train  (0.088s)
[00:05:35] a man in a hat looking out the window of a train  (0.083s)
[00:05:37] a man in a car looking out the window  (0.065s)
[00:05:39] a man in a hat looking out the window of a car  (0.082s)
[00:05:41] a man in a car with a hat on  (0.069s)
[00:05:43] a man in a car looking out the window  (0.067s)
[00:05:45] a man in a cowboy hat leaning against a fence  (0.076s)
[00:05:47] a man in a cowboy hat leaning on a fence  (0.073s)
[00:05:49] a man in a cowboy hat is standing next to a horse  (0.080s)
[00:05:51] a man in cowboy attire riding a horse  (0.065s)
[00:05:53] a man in a cowboy hat and a man in a cowboy hat standing next to a truck  (0.119s)
[00:05:55] a group of men riding horses in the desert  (0.066s)
[00:05:57] a group of men riding horses in the desert  (0.068s)
[00:05:59] two men on horses in the desert  (0.056s)
[00:06:01] a man riding a horse through a rocky landscape  (0.071s)
[00:06:03] two men riding horses through a rocky landscape  (0.066s)
[00:06:05] a man riding a horse in the desert  (0.062s)
[00:06:07] a man on a horse  (0.045s)
[00:06:09] a man on a horse  (0.045s)
