Ignore,Scene,Start,End,Caption
Yes,0,00:00:00.205,00:00:30.534,
No,0,00:00:30.944,00:00:31.160,"The sequence captures a close-up of a cannon firing, with bright flames and sparks erupting from the barrel, dominating the frame. The scene is set against a clear blue sky, suggesting a bright, sunny day in the open frontier."
No,0,00:00:31.570,00:00:32.036,"The sequence captures a close-up of a cannon firing, with the bright flash of the muzzle blast illuminating the scene. The setting is an open field under a clear blue sky, suggesting a daytime battle in a Western frontier landscape."
No,0,00:00:32.446,00:00:34.204,"In a tense medium shot, a group of men in worn, dusty clothing and hats crouch behind a wooden barricade, aiming rifles at a distant line of mounted figures across a grassy field. The scene is set in broad daylight, with the sun casting sharp shadows, and the lush greenery of the surrounding landscape suggesting a warm, clear day."
No,0,00:00:34.614,00:00:38.709,"The scene captures a chaotic battlefield with soldiers in brown uniforms, some wearing hats, taking cover behind a fallen tree while others advance, carrying a Confederate flag. Smoke and debris fill the air under a clear blue sky, suggesting a daytime battle in a lush, green landscape."
No,0,00:00:39.119,00:00:40.878,"In a wide shot, a line of soldiers in dark uniforms operates a row of cannons, with one soldier holding a cannonball and another using a ramrod. The scene is set in a grassy field under a clear blue sky, with smoke billowing from the cannons, indicating a daytime battle."
No,0,00:00:41.288,00:00:41.503,"In a medium shot obscured by swirling smoke, several men in rugged clothing are seen aiming rifles from behind a makeshift barricade, suggesting a tense standoff. The scene is set in a wooded area with dense foliage, indicating a daytime setting with filtered sunlight creating a dramatic atmosphere."
No,0,00:00:41.913,00:00:42.379,"The scene captures a close-up of a cannon firing, framed through the spokes of a wagon wheel, with smoke billowing from the barrel. The background reveals a clear blue sky and a distant treeline, suggesting a bright, sunny day on the open plains."
No,0,00:00:42.789,00:00:44.048,"In this intense sequence, a group of men in rugged attire are engaged in a chaotic battle, taking cover behind a wooden fence as a massive explosion of dirt and debris erupts in the foreground. The scene is set in a lush, green landscape under a clear sky, suggesting a daytime skirmish in the open frontier."
No,0,00:00:44.458,00:00:52.806,"In a sweeping long shot, a cavalry of soldiers on horseback charges across a grassy hill, brandishing rifles and an American flag, while artillerymen stand by a cannon in the background. The scene transitions to a chaotic close-up of soldiers in brown uniforms scrambling amidst fallen comrades near a wooden fence, set against a backdrop of lush greenery under a clear blue sky, suggesting a daytime battle."
No,0,00:00:53.216,00:00:56.435,"In a wide shot, a fallen horse and rider lie in the foreground, partially obscured by smoke and foliage, while a group of figures on horseback engage in a distant skirmish across the open field. The scene is set in a lush, green landscape under a clear sky, suggesting a daytime battle in the expansive frontier."
No,0,00:00:56.845,00:01:01.690,"A group of cavalrymen, dressed in military uniforms with wide-brimmed hats and wielding sabers, charge forward on horseback in a dynamic medium shot. The scene is set in a lush, open field under a clear blue sky, suggesting a bright, sunny day."
No,0,00:01:02.100,00:01:03.442,"In a medium shot, several soldiers in Confederate uniforms are positioned behind a wooden barricade, aiming their rifles through the gaps. The scene is set in a grassy field under a clear blue sky, with smoke from gunfire lingering in the air, suggesting a battle taking place during daylight hours."
No,0,00:01:03.852,00:01:10.491,"In a dynamic wide shot, a group of cavalry soldiers charges across a grassy field, their horses kicking up dust as they gallop. The scene is set in a lush, green landscape under a clear blue sky, suggesting a bright, sunny day."
No,0,00:01:10.901,00:01:12.076,"In a dynamic close-up shot, a group of men in period military uniforms with red cuffs are seen gripping rifles as they brace against a wooden barricade. The blurred motion of galloping horses dominates the foreground, suggesting a chaotic battle scene under a clear blue sky, with lush greenery in the background indicating a daytime setting."
No,0,00:01:12.486,00:01:13.243,"In a chaotic battlefield scene, the camera captures a dynamic medium shot of men in period attire, some wielding rifles and others running amidst fallen bodies. The background reveals a group of mounted riders galloping across a grassy field, with smoke lingering in the air, suggesting a recent skirmish under the bright daylight."
No,0,00:01:13.653,00:01:17.414,"In a dynamic medium shot, two men in rugged attire take cover behind a wooden barricade, aiming rifles at a group of mounted soldiers charging towards them. The scene is set in a lush, green landscape under clear daylight, with dust and smoke adding to the chaos of the confrontation."
No,0,00:01:17.824,00:01:19.750,"In a chaotic battle scene, a soldier in a beige uniform with a ""CSA"" satchel is engaged in close combat with a cavalryman wielding a saber, both framed against a backdrop of fallen soldiers and a wooden fence. The scene is set in a lush, green field under a clear blue sky, suggesting a daytime skirmish amidst the Civil War era."
No,0,00:01:20.160,00:01:24.463,"In a chaotic battlefield scene, a soldier in a dusty uniform and cap appears distressed as a horse gallops past him, partially obscuring the view. The background reveals a grim landscape of fallen soldiers scattered across a grassy field, with smoke lingering in the air under a clear daytime sky, suggesting the aftermath of a fierce skirmish."
No,0,00:01:24.873,00:01:27.840,"In a dynamic sequence of close-up and medium shots, a chaotic cavalry skirmish unfolds with soldiers on horseback, some wielding sabers and others struggling to maintain control of their mounts. The scene is set in a lush, green landscape under a clear blue sky, suggesting a daytime battle on the open plains."
No,0,00:01:28.250,00:01:35.015,"In a dynamic sequence of close-up and medium shots, a chaotic skirmish unfolds with men on horseback engaged in combat, one prominently wielding a Confederate flag. This man is killed in action and dies wrapped in his flag. The scene is set in a lush, green landscape under a clear blue sky, suggesting a daytime confrontation amidst the open fields of the frontier."
No,0,00:01:35.425,00:01:40.437,"In a medium shot, two men on horseback, dressed in military-style uniforms with wide-brimmed hats, survey the area, while another man crouches behind a fallen tree, aiming a rifle. The scene is set in a rural landscape with a wooden fence and sparse trees, under a clear blue sky, suggesting a calm, sunny day."
No,0,00:01:40.847,00:01:42.022,"A medium close-up shot captures a native american man in a cavalry uniform playing a brass bugle, his face focused and determined. The scene is set outdoors in daylight, with lush green trees in the background under a clear blue sky, suggesting a serene and sunny day."
No,0,00:01:42.432,00:01:43.732,"In a medium close-up shot, a man wearing a cavalry uniform with a yellow neckerchief and a black hat adorned with crossed sabers stands pensively. The bright blue sky and lush green trees in the background suggest a clear, sunny day on the frontier."
No,0,00:01:44.142,00:01:46.235,"The scene captures a fallen soldier draped in a Confederate flag, lying on a battlefield with a rifle nearby. The setting is a barren, dusty landscape under clear daylight, suggesting a somber moment after a skirmish."
No,0,00:01:46.645,00:01:48.320,"The scene features a close-up of a man wearing a dark cavalry hat adorned with crossed sabers, a blue military uniform with gold epaulettes, and a yellow neckerchief. He appears contemplative, glancing downward and then to the side, set against a backdrop of green trees under a clear blue sky, suggesting a sunny day."
No,0,00:01:48.730,00:01:53.742,"In a wide shot, two men in tattered uniforms walk through a battlefield littered with fallen soldiers and abandoned cannons, their figures silhouetted against the smoke-filled air. The scene is set in a clearing surrounded by dense trees, with the sunlight filtering through, suggesting a late afternoon or early evening after a fierce skirmish."
No,0,00:01:54.152,00:01:56.286,"A close-up shot captures a man in a military uniform, wearing a black hat adorned with a cavalry insignia and a yellow neckerchief, as he gazes intently to the side. The scene is set outdoors during the day, with clear blue skies and lush green trees in the background, suggesting a serene yet tense moment in a Western landscape."
No,0,00:01:56.696,00:01:59.498,"In a dynamic wide shot, a group of cavalrymen on horseback, dressed in dark uniforms with hats, are seen gathered near a wooden fence. One rider, holding a hat aloft, leaps over the fence on his horse, while an American flag flutters prominently in the background. The scene is set in a lush, open field under a clear blue sky, suggesting a bright, sunny day."
No,0,00:01:59.908,00:02:07.881,"In a medium shot, three cavalrymen on horseback are framed in the foreground, wearing military uniforms with yellow neckerchiefs and hats, engaged in conversation. The scene is set in a lush, green landscape under a clear blue sky, suggesting a bright, sunny day."
No,0,00:02:08.291,00:02:11.260,"In a medium shot, two cavalry officers are prominently framed in the foreground, both wearing dark uniforms with yellow neckerchiefs and hats, one with a distinctive insignia. They are mounted on horses, flanked by other soldiers in the background, set against a lush, green landscape under a clear blue sky, suggesting a sunny day."
No,0,00:02:11.670,00:02:18.392,"In a medium shot, a soldier in a dark uniform with gold stripes on the sleeves is prominently framed in the foreground, looking intently ahead. Behind him, a group of cavalry soldiers on horseback, waving sabers and an American flag, are gathered in a field under a clear blue sky, suggesting a daytime setting."
No,0,00:02:18.802,00:02:19.560,"In a medium shot, two cavalry officers are prominently framed in the foreground, wearing dark uniforms with yellow neckerchiefs and hats, one with a cavalry insignia. Behind them, other soldiers on horseback are visible, set against a lush, green landscape under a clear blue sky, suggesting a bright midday setting."
